x,y,data
0,0.02992072,0
1,0.016563563781120606,-4.04239366878262*u_x
2,0.014238618326240637,-4.05393432158216*u_x - 16.5231963792615*u_xx
3,0.013528422690076859,-37.2965950489163*u*u_xx - 4.48355687708877*u_x
5,0.011282483598374981,0.476301591082117*u**2 - 27.0291764270443*u*u_xx - 0.456000430260942*u
6,0.003636615368461635,-0.881850230978038*u**3 + 1.7209435185508*u**2 - 0.837484388824671*u + 8.89035230350701*u_xx
9,0.003414763389783513,-0.795157750981301*u**3 + 1.55480370672171*u**2 - 0.758285001706283*u + 12658.9265578233*u_x**2*u_xx - 0.423910103569995*u_x
10,0.0034014584958409534,-0.836199157230506*u**3 + 1.64733268786561*u**2 - 0.807510005102359*u + 7553.13683226187*u_x**2*u_xx + 4.71669615273634*u_xx - 0.00188164992623202
11,0.003261376587431598,-0.836816517754464*u**3 + 1.60927384356167*u**2 - 0.769328044097668*u + 7123.83459333565*u_x**2*u_xx - 0.444678586681348*u_x + 5.25607171861728*u_xx - 0.00190234045869413
14,0.0031361470158030678,-0.360536003641189*u**4 + 137.75530442189*u**3*u_xx + 1.01166051273667*u**2 - 103.094362170227*u*u_xx - 0.648817889722503*u + 1501.92811923973*u_x*u_xx - 0.418552193959802*u_x - 9.52713006046104*u_xx
15,0.002983431234166251,-0.337520260483906*u**4 + 239.482415816649*u**2*u_xx + 0.920963955665089*u**2 - 230.573476202579*u*u_xx - 0.581128132797928*u + 28.5518799198815*u_x**2 + 1831.6921303082*u_x*u_xx - 1.65989565157182*u_x
16,0.0029210329852310053,-0.225913873933369*u**4 - 0.221972853141172*u**3 + 232.203946067364*u**2*u_xx + 1.09506439238028*u**2 - 218.018959751807*u*u_xx - 0.641546474175669*u + 1685.13101173889*u_x*u_xx - 0.449818217622474*u_x - 0.00265295362752971
17,0.002837839777512624,-0.653678347062068*u**3 + 230.542101461821*u**2*u_xx + 1.26193493626579*u**2 - 239.457365619244*u*u_xx - 0.601712983000725*u + 39.9494375829973*u_x**2 + 1711.98607681991*u_x*u_xx - 2.44857710394273*u_x + 10.2789517078148*u_xx - 0.00212267146941048
19,0.002530806706584057,346.455882847792*u**2*u_xx + 0.263856601692769*u**2 - 837.696315874314*u*u_x**2 + 23.0862277885444*u*u_x - 362.161776739965*u*u_xx - 0.263081337128539*u + 449.210813834544*u_x**2 - 93.1431004230287*u_x*u_xx - 14.1274705527977*u_x + 70.6974768374041*u_xx
23,0.0022944427799570593,-1.34457427159877*u**4 - 21.1242360723453*u**3*u_x + 2.72022565573745*u**3 + 297.611462091466*u**2*u_xx - 1.3735023825084*u**2 - 861.587722435814*u*u_x**2 + 41.7291690111652*u*u_x - 363.369834575998*u*u_xx + 427.168680413156*u_x**2 - 18.8835588756798*u_x + 89.1293385566822*u_xx
26,0.002242358160678118,-1.2515020192282*u**4 - 19.4003586144503*u**3*u_x + 2.57517213196126*u**3 + 297.25119329268*u**2*u_xx - 1.32258174740031*u**2 - 1007.9644189914*u*u_x**2 + 43.011205516397*u*u_x - 358.828387594233*u*u_xx + 496.554511913909*u_x**2 - 529.542555459812*u_x*u_xx - 19.7196880418389*u_x + 95.5325223623344*u_xx - 8.29183970450201e-5
27,0.002038075733110339,-2.1667720455787*u**4 + 4.58877462898355*u**3 - 51.7872561391687*u**2*u_x + 384.100716205878*u**2*u_xx - 2.7040660609832*u**2 - 1027.31652850446*u*u_x**2 + 83.2133778791759*u*u_x - 489.827810867524*u*u_xx + 0.28075510690517*u + 491.413718528446*u_x**2 - 378.826645010178*u_x*u_xx - 28.4327028700923*u_x + 139.248786057193*u_xx + 0.000983802921070416
