x,y,data
0,0.02992072,0
1,0.016563563781120606,-4.04239366878262*u_x
3,0.013528422690076859,-37.2965950489163*u*u_xx - 4.48355687708877*u_x
6,0.01257266851206068,0.293683922105746*u**3 - 0.273988781537755*u + 1501.74898674394*u_x*u_xx - 54.8969575089748*u_xx
7,0.01180497554188939,-0.00699660533916534*u**2 + 12.3893603168267*u*u_x + 1313.10766817026*u_x*u_xx - 9.83768869123962*u_x
8,0.008500104214236325,27.6981198073336*u**2*u_x - 20.4047542262477*u*u_x + 209.834555704478*u_x**2 - 6.78677728145761*u_x
11,0.0034220140347765433,-0.912874899465415*u**3 + 1.71473988894602*u**2 - 1.3199461113669*u*u_x - 0.798083573786107*u + 4.38148009505744*u_x**2 + 6.44831599289733*u_xx - 0.00221633888211213
15,0.0033755308714684623,-0.84083196385333*u**3 + 8.35713022033153*u**2*u_xx + 1.64560946278692*u**2 - 32.9939117545819*u*u_x**2 + 0.660433081676589*u*u_x - 0.801232715579546*u + 6.00733475729469*u_xx - 0.0021434510029282
16,0.003185814972612619,-0.365498022048013*u**4 + 706.024644286539*u**2*u_x*u_xx + 210.29546852845*u**2*u_xx + 1.04553087465207*u**2 - 198.021286796519*u*u_xx - 0.678627735529743*u + 1379.88684479479*u_x*u_xx
17,0.002881834835197154,131.366585713057*u**3*u_xx - 0.69298917602892*u**3 + 1.3213088586988*u**2 - 126.657214965141*u*u_xx - 0.622149227049214*u + 38.7858614262767*u_x**2 + 1416.52513173924*u_x*u_xx - 2.48085798025534*u_x + 5.67381222269678*u_xx - 0.00165459176369825
22,0.002672102954202072,799.740913358355*u**3*u_xx + 0.176756204206307*u**3 - 1633.54472444722*u**2*u_x**2 - 803.485849213171*u**2*u_xx + 687.678688012226*u*u_x**2 + 28.2405876563215*u*u_x - 0.175303666876256*u + 100.424509292496*u_x**2 - 16.7961039422775*u_x + 81.8123684967465*u_xx
26,0.0024670388813531263,-0.186837972481862*u**4 + 0.406211346968602*u**3 + 361.333814020036*u**2*u_xx - 910.389042980586*u*u_x**2 + 5.00421630176805*u*u_x*u_xx + 24.6166227151527*u*u_x - 370.000910062521*u*u_xx - 0.219644032273257*u - 6711.37913646705*u_x**2*u_xx + 478.035563758157*u_x**2 - 14.5072762959316*u_x + 69.9922054667165*u_xx - 0.000512989882296884
30,0.002465707672227302,0.177740084006073*u**3 + 499.116799008528*u**2*u_x*u_xx + 379.194068582917*u**2*u_xx - 9119.04690401146*u*u_x**2*u_xx - 931.791093535596*u*u_x**2 + 27.5224718354065*u*u_x - 399.825958622166*u*u_xx - 0.177631923306134*u - 12556.6034059943*u_x**2*u_xx + 493.856460816498*u_x**2 + 418.521518020551*u_x*u_xx - 16.2352444350308*u_x + 76.4265728349379*u_xx
31,0.0023292618242677396,10348.7509008787*u**2*u_x*u_xx + 3.42154277540742*u**2*u_x + 208.224582662559*u**2*u_xx + 0.268030693748845*u**2 - 851.957432275489*u*u_x**2 - 9871.2205900493*u*u_x*u_xx + 20.1071710581955*u*u_x - 219.890353727908*u*u_xx - 0.268831567393055*u + 39615.1103646889*u_x**2*u_xx + 455.213717034283*u_x**2 - 13.4247354062185*u_x + 58.3166030846894*u_xx - 0.000274003496430131
33,0.0020540954549945058,-1.97030697804948*u**4 + 265.919908799214*u**3*u_xx + 4.08585753331944*u**3 - 48.4383847376083*u**2*u_x - 2.32370067397658*u**2 + 44071.9170881528*u*u_x**2*u_xx - 890.687300829655*u*u_x**2 + 75.3418035353855*u*u_x - 353.994045624248*u*u_xx + 0.20962172040164*u - 37634.2387491232*u_x**2*u_xx + 444.538183330416*u_x**2 + 640.678798130403*u_x*u_xx - 26.2845253504577*u_x + 117.936414231675*u_xx
41,0.002052794829739401,-1.19093478973623*u**4 - 16.9498237965458*u**3*u_x + 120.437422733558*u**3*u_xx + 2.46511201610881*u**3 - 440.547650183925*u**2*u_x**2 + 8854.42349650981*u**2*u_x*u_xx - 1.27475138959199*u**2 + 30547.6122384489*u*u_x**2*u_xx - 657.383041135579*u*u_x**2 - 10229.6090882597*u*u_x*u_xx + 42.6580181083608*u*u_x - 169.790514995113*u*u_xx + 23135.0124128409*u_x**2*u_xx + 433.591825982626*u_x**2 - 20.044307657944*u_x + 87.6639775796085*u_xx
